,Sale,weight,ppi,cpu_core,internal_mem,ram,RearCam,battery,pred
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,3,1
4,0,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,1,1,0
6,0,0,0,0,0,0,1,2,1
7,0,0,0,0,0,0,1,3,1
8,0,0,0,0,0,0,2,0,2
9,0,0,0,0,0,0,2,1,0
10,0,0,0,0,0,0,2,2,1
11,0,0,0,0,0,0,2,3,1
12,0,0,0,0,0,0,3,0,2
13,0,0,0,0,0,0,3,1,0
14,0,0,0,0,0,0,3,2,1
15,0,0,0,0,0,0,3,3,1
16,0,0,0,0,0,1,0,0,0
17,0,0,0,0,0,1,0,1,0
18,0,0,0,0,0,1,0,2,3
19,0,0,0,0,0,1,0,3,3
20,0,0,0,0,0,1,1,0,0
21,0,0,0,0,0,1,1,1,0
22,0,0,0,0,0,1,1,2,0
23,0,0,0,0,0,1,1,3,0
24,0,0,0,0,0,1,2,0,0
25,0,0,0,0,0,1,2,1,0
26,0,0,0,0,0,1,2,2,0
27,0,0,0,0,0,1,2,3,0
28,0,0,0,0,0,1,3,0,2
29,0,0,0,0,0,1,3,1,0
30,0,0,0,0,0,1,3,2,0
31,0,0,0,0,0,1,3,3,0
32,0,0,0,0,0,2,0,0,0
33,0,0,0,0,0,2,0,1,0
34,0,0,0,0,0,2,0,2,0
35,0,0,0,0,0,2,0,3,3
36,0,0,0,0,0,2,1,0,0
37,0,0,0,0,0,2,1,1,0
38,0,0,0,0,0,2,1,2,0
39,0,0,0,0,0,2,1,3,0
40,0,0,0,0,0,2,2,0,0
41,0,0,0,0,0,2,2,1,0
42,0,0,0,0,0,2,2,2,0
43,0,0,0,0,0,2,2,3,0
44,0,0,0,0,0,2,3,0,2
45,0,0,0,0,0,2,3,1,0
46,0,0,0,0,0,2,3,2,0
47,0,0,0,0,0,2,3,3,0
48,0,0,0,0,0,3,0,0,0
49,0,0,0,0,0,3,0,1,0
50,0,0,0,0,0,3,0,2,0
51,0,0,0,0,0,3,0,3,0
52,0,0,0,0,0,3,1,0,0
53,0,0,0,0,0,3,1,1,0
54,0,0,0,0,0,3,1,2,0
55,0,0,0,0,0,3,1,3,0
56,0,0,0,0,0,3,2,0,0
57,0,0,0,0,0,3,2,1,0
58,0,0,0,0,0,3,2,2,0
59,0,0,0,0,0,3,2,3,0
60,0,0,0,0,0,3,3,0,2
61,0,0,0,0,0,3,3,1,0
62,0,0,0,0,0,3,3,2,0
63,0,0,0,0,0,3,3,3,0
64,0,0,0,0,1,0,0,0,3
65,0,0,0,0,1,0,0,1,3
66,0,0,0,0,1,0,0,2,1
67,0,0,0,0,1,0,0,3,1
68,0,0,0,0,1,0,1,0,0
69,0,0,0,0,1,0,1,1,1
70,0,0,0,0,1,0,1,2,1
71,0,0,0,0,1,0,1,3,1
72,0,0,0,0,1,0,2,0,0
73,0,0,0,0,1,0,2,1,1
74,0,0,0,0,1,0,2,2,1
75,0,0,0,0,1,0,2,3,1
76,0,0,0,0,1,0,3,0,2
77,0,0,0,0,1,0,3,1,0
78,0,0,0,0,1,0,3,2,1
79,0,0,0,0,1,0,3,3,1
80,0,0,0,0,1,1,0,0,3
81,0,0,0,0,1,1,0,1,3
82,0,0,0,0,1,1,0,2,3
83,0,0,0,0,1,1,0,3,3
84,0,0,0,0,1,1,1,0,0
85,0,0,0,0,1,1,1,1,0
86,0,0,0,0,1,1,1,2,0
87,0,0,0,0,1,1,1,3,3
88,0,0,0,0,1,1,2,0,0
89,0,0,0,0,1,1,2,1,0
90,0,0,0,0,1,1,2,2,0
91,0,0,0,0,1,1,2,3,0
92,0,0,0,0,1,1,3,0,2
93,0,0,0,0,1,1,3,1,0
94,0,0,0,0,1,1,3,2,0
95,0,0,0,0,1,1,3,3,0
96,0,0,0,0,1,2,0,0,0
97,0,0,0,0,1,2,0,1,3
98,0,0,0,0,1,2,0,2,3
99,0,0,0,0,1,2,0,3,3
100,0,0,0,0,1,2,1,0,0
101,0,0,0,0,1,2,1,1,0
102,0,0,0,0,1,2,1,2,0
103,0,0,0,0,1,2,1,3,0
104,0,0,0,0,1,2,2,0,0
105,0,0,0,0,1,2,2,1,0
106,0,0,0,0,1,2,2,2,0
107,0,0,0,0,1,2,2,3,0
108,0,0,0,0,1,2,3,0,2
109,0,0,0,0,1,2,3,1,0
110,0,0,0,0,1,2,3,2,0
111,0,0,0,0,1,2,3,3,0
112,0,0,0,0,1,3,0,0,0
113,0,0,0,0,1,3,0,1,0
114,0,0,0,0,1,3,0,2,0
115,0,0,0,0,1,3,0,3,3
116,0,0,0,0,1,3,1,0,0
117,0,0,0,0,1,3,1,1,0
118,0,0,0,0,1,3,1,2,0
119,0,0,0,0,1,3,1,3,0
120,0,0,0,0,1,3,2,0,0
121,0,0,0,0,1,3,2,1,0
122,0,0,0,0,1,3,2,2,0
123,0,0,0,0,1,3,2,3,0
124,0,0,0,0,1,3,3,0,2
125,0,0,0,0,1,3,3,1,0
126,0,0,0,0,1,3,3,2,0
127,0,0,0,0,1,3,3,3,0
128,0,0,0,0,2,0,0,0,3
129,0,0,0,0,2,0,0,1,3
130,0,0,0,0,2,0,0,2,1
131,0,0,0,0,2,0,0,3,1
132,0,0,0,0,2,0,1,0,3
133,0,0,0,0,2,0,1,1,1
134,0,0,0,0,2,0,1,2,1
135,0,0,0,0,2,0,1,3,1
136,0,0,0,0,2,0,2,0,0
137,0,0,0,0,2,0,2,1,1
138,0,0,0,0,2,0,2,2,1
139,0,0,0,0,2,0,2,3,1
140,0,0,0,0,2,0,3,0,2
141,0,0,0,0,2,0,3,1,1
142,0,0,0,0,2,0,3,2,1
143,0,0,0,0,2,0,3,3,1
144,0,0,0,0,2,1,0,0,3
145,0,0,0,0,2,1,0,1,3
146,0,0,0,0,2,1,0,2,3
147,0,0,0,0,2,1,0,3,3
148,0,0,0,0,2,1,1,0,0
149,0,0,0,0,2,1,1,1,3
150,0,0,0,0,2,1,1,2,3
151,0,0,0,0,2,1,1,3,3
152,0,0,0,0,2,1,2,0,0
153,0,0,0,0,2,1,2,1,0
154,0,0,0,0,2,1,2,2,0
155,0,0,0,0,2,1,2,3,0
156,0,0,0,0,2,1,3,0,2
157,0,0,0,0,2,1,3,1,0
158,0,0,0,0,2,1,3,2,0
159,0,0,0,0,2,1,3,3,0
160,0,0,0,0,2,2,0,0,3
161,0,0,0,0,2,2,0,1,3
162,0,0,0,0,2,2,0,2,3
163,0,0,0,0,2,2,0,3,3
164,0,0,0,0,2,2,1,0,0
165,0,0,0,0,2,2,1,1,0
166,0,0,0,0,2,2,1,2,3
167,0,0,0,0,2,2,1,3,3
168,0,0,0,0,2,2,2,0,0
169,0,0,0,0,2,2,2,1,0
170,0,0,0,0,2,2,2,2,0
171,0,0,0,0,2,2,2,3,0
172,0,0,0,0,2,2,3,0,2
173,0,0,0,0,2,2,3,1,0
174,0,0,0,0,2,2,3,2,0
175,0,0,0,0,2,2,3,3,0
176,0,0,0,0,2,3,0,0,0
177,0,0,0,0,2,3,0,1,3
178,0,0,0,0,2,3,0,2,3
179,0,0,0,0,2,3,0,3,3
180,0,0,0,0,2,3,1,0,0
181,0,0,0,0,2,3,1,1,0
182,0,0,0,0,2,3,1,2,0
183,0,0,0,0,2,3,1,3,3
184,0,0,0,0,2,3,2,0,0
185,0,0,0,0,2,3,2,1,0
186,0,0,0,0,2,3,2,2,0
187,0,0,0,0,2,3,2,3,0
188,0,0,0,0,2,3,3,0,0
189,0,0,0,0,2,3,3,1,0
190,0,0,0,0,2,3,3,2,0
191,0,0,0,0,2,3,3,3,0
192,0,0,0,0,3,0,0,0,3
193,0,0,0,0,3,0,0,1,3
194,0,0,0,0,3,0,0,2,1
195,0,0,0,0,3,0,0,3,1
196,0,0,0,0,3,0,1,0,3
197,0,0,0,0,3,0,1,1,1
198,0,0,0,0,3,0,1,2,1
199,0,0,0,0,3,0,1,3,1
200,0,0,0,0,3,0,2,0,1
201,0,0,0,0,3,0,2,1,1
202,0,0,0,0,3,0,2,2,1
203,0,0,0,0,3,0,2,3,1
204,0,0,0,0,3,0,3,0,2
205,0,0,0,0,3,0,3,1,1
206,0,0,0,0,3,0,3,2,1
207,0,0,0,0,3,0,3,3,1
208,0,0,0,0,3,1,0,0,3
209,0,0,0,0,3,1,0,1,3
210,0,0,0,0,3,1,0,2,3
211,0,0,0,0,3,1,0,3,3
